state,strata,pop_at_risk,par_se,delta_o3,do3_se,n_smoky,yo,yo_se,beta,beta_se
kentucky,white,74284.44822762326,3241.9388590611065,4.03911989119097,0.5397091539639758,27.823529411764707,0.094,0.01,0.0095,0.004
louisiana,white,34753.3029033047,2505.76873753399,10.90478106983647,0.894491663404189,31.7,0.094,0.01,0.0095,0.004
maryland,white,46007.028994203276,1722.182109116092,4.3197604984360645,1.8288996169773302,17.666666666666668,0.094,0.01,0.0095,0.004
maine,white,21088.055455494294,876.9126701894857,4.690142121423655,1.4355742837081207,22.333333333333332,0.094,0.01,0.0095,0.004
michigan,white,133535.0955963997,3929.8508034275574,2.707859151784442,0.9364894444155839,19.555555555555557,0.094,0.01,0.0095,0.004
missouri,white,85216.38037466291,4520.190921153852,4.381615478641194,1.0447475508989015,26.666666666666668,0.094,0.01,0.0095,0.004
mississippi,white,24483.55499496778,1196.1092586624604,8.811740792233623,0.8218515652930607,30.5,0.094,0.01,0.0095,0.004
montana,white,11068.903756834578,457.6418729990222,-1.3035954384973885,1.0421519238620696,21.5,0.094,0.01,0.0095,0.004
north carolina,white,123463,21018.367346938776,4.840678002978285,0.5736152916373429,30.071428571428573,0.094,0.01,0.0095,0.004
nebraska,white,19697.333992887656,724.9853305692404,NA,NA,NA,0.094,0.01,0.0095,0.004
new hampshire,white,15653.671818509692,729.2600561346458,2.237445716467837,2.541148106038089,13,0.094,0.01,0.0095,0.004
new jersey,white,73545.32507962949,2376.431681935901,4.30348065040259,1.2391849341743608,23.4,0.094,0.01,0.0095,0.004
new mexico,white,11157.734304050558,621.0926217745287,0.6665321870912665,0.5388803058273527,30,0.094,0.01,0.0095,0.004
nevada,white,17518.017940660175,1246.7508255632424,1.871937419137972,0.8917961588037685,14.833333333333334,0.094,0.01,0.0095,0.004
new york,white,160273.5017609753,7578.119132186056,7.4138704827253585,0.9932147514156776,24.555555555555557,0.094,0.01,0.0095,0.004
